[2022-01-22 11:33:04,272][train_graph.py][line:146][INFO] arch: pointNN_graph
base_lr: 0.0005
block_size: 1.0
classes: 13
cuda: True
data_name: s3dis
data_root: /data0/texture_data/yaohualiu/PublicDataset/s3dis
epochs: 100
evaluate: True
feature_dim: 6
ignore_label: 255
is_restart: 1
log_root: /Code/PycharmProjects/pythonProject/3DSemantic/ANTennaSeg3D/log/s3dis_graph
manual_seed: 123
momentum: 0.9
multiplier: 0.5
names_path: list/s3dis_names.txt
num_point: 10000
pcd_save_path: pred_pcd
print_freq: 100
resume: None
sample_rate: 1.0
save_freq: 1
save_path: checkpoints_graph
selected_epoch: 36
split: val
start_epoch: 0
step_epoch: 20
stride_rate: 0.5
sync_bn: False
test_area: 5
test_batch_size: 1
test_gpu: [1]
test_list: list/val5.txt
test_list_full: list/val5_full.txt
test_log: test.log
test_tensorboard_path: tb_test
test_workers: 1
train_batch_size: 1
train_batch_size_val: 1
train_full_folder: trainval_fullarea
train_gpu: [1]
train_list: list/train12346.txt
train_log: train.log
train_tensorboard_path: tb_train
train_workers: 1
use_xyz: True
val_list: list/val5.txt
voxel_max: 0
voxel_size: 0
weight: None
weight_decay: 0.0001
writer_root: /Code/PycharmProjects/pythonProject/3DSemantic/ANTennaSeg3D/writer/s3dis_graph
[2022-01-22 11:33:04,281][s3dis_short.py][line:36][INFO] S3DIS init ... 
[2022-01-22 11:33:50,479][s3dis_short.py][line:68][INFO] Totally 19491 samples in train set.
[2022-01-22 11:33:55,387][train_graph.py][line:190][INFO] Let's use 1 GPU!
[2022-01-22 11:36:13,976][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[100/19491] | RunningLoss:220.53402 | AllAcc:0.52490 | mIoU:0.04038 | mAcc:0.07691 | Time:0.0074
[2022-01-22 11:36:26,992][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[200/19491] | RunningLoss:210.41558 | AllAcc:0.24560 | mIoU:0.01974 | mAcc:0.07721 | Time:0.0099
[2022-01-22 11:36:38,329][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[300/19491] | RunningLoss:210.63584 | AllAcc:0.32530 | mIoU:0.03903 | mAcc:0.08844 | Time:0.0062
[2022-01-22 11:36:49,075][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[400/19491] | RunningLoss:207.67019 | AllAcc:0.26270 | mIoU:0.03512 | mAcc:0.09111 | Time:0.0067
[2022-01-22 11:36:59,520][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[500/19491] | RunningLoss:208.15293 | AllAcc:0.26900 | mIoU:0.05348 | mAcc:0.13669 | Time:0.0072
[2022-01-22 11:37:14,681][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[600/19491] | RunningLoss:199.21174 | AllAcc:0.27080 | mIoU:0.03656 | mAcc:0.09951 | Time:0.0073
[2022-01-22 11:37:27,393][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[700/19491] | RunningLoss:201.24567 | AllAcc:0.35730 | mIoU:0.05975 | mAcc:0.14041 | Time:0.0071
[2022-01-22 11:37:42,418][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[800/19491] | RunningLoss:207.54704 | AllAcc:0.24470 | mIoU:0.05255 | mAcc:0.14039 | Time:0.0080
[2022-01-22 11:37:53,313][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[900/19491] | RunningLoss:203.55620 | AllAcc:0.26580 | mIoU:0.04137 | mAcc:0.10789 | Time:0.0077
[2022-01-22 11:38:06,217][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[1000/19491] | RunningLoss:202.83856 | AllAcc:0.35350 | mIoU:0.06502 | mAcc:0.11580 | Time:0.0073
[2022-01-22 11:38:18,742][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[1100/19491] | RunningLoss:196.58855 | AllAcc:0.41730 | mIoU:0.08769 | mAcc:0.17614 | Time:0.0068
[2022-01-22 11:38:31,363][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[1200/19491] | RunningLoss:198.50283 | AllAcc:0.40680 | mIoU:0.12771 | mAcc:0.22230 | Time:0.0066
[2022-01-22 11:38:44,543][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[1300/19491] | RunningLoss:196.82524 | AllAcc:0.30030 | mIoU:0.03600 | mAcc:0.08465 | Time:0.0071
